,L.BSTS,L.CACG,L.CMFG,L.CU,L.EC,L.FG,L.IPG,L.ITG,L.ICG,L.LOG,L.LOFG,L.LG,L.MOFG,L.MTG,L.PHIG,L.PaCG,L.POP,L.POR,L.PTR,L.PCAL,L.PoCG,L.PCG,L.PrCG,L.PCU,L.RACG,L.RMFG,L.SFG,L.SPG,L.STG,L.SMG,L.FP,L.TP,L.TTG,L.IN,L.CER,L.TH,L.CA,L.PU,L.PA,L.HI,L.AM,L.AC,R.TH,R.CA,R.PU,R.PA,R.HI,R.AM,R.AC,R.BSTS,R.CACG,R.CMFG,R.CU,R.EC,R.FG,R.IPG,R.ITG,R.ICG,R.LOG,R.LOFG,R.LG,R.MOFG,R.MTG,R.PHIG,R.PaCG,R.POP,R.POR,R.PTR,R.PCAL,R.PoCG,R.PCG,R.PrCG,R.PCU,R.RACG,R.RMFG,R.SFG,R.SPG,R.STG,R.SMG,R.FP,R.TP,R.TTG,R.IN,R.CER,L.VTA,L.SN,R.VTA,R.SN,L.RN,R.RN
L.AC,7.708430286976471e-06,0.0040641885645212195,8.438724669207698e-05,6.356565127693907e-05,2.9288581222042617e-05,0.00018618558406515175,0.00013641605845672372,0.0002725070008356868,0.0006019652244580044,0.00016797137945761712,0.04054429605633837,0.00010499582044008201,0.09282711999108743,0.0002909786199318088,4.785172903166471e-05,6.543891207505468e-05,0.00017044345882550588,0.0007344087796813282,0.00041182094506785045,5.314155428952157e-05,0.00012737082493181586,0.0008931643155642822,0.00014849508371489258,0.0003789430310908961,0.05099167945873834,0.0032931760877559883,0.0020288281147072002,0.00036073284732231767,0.0003300197674741485,0.00013417342430988138,0.00044583932538460165,9.870172333131217e-05,3.0262594603188232e-05,0.04881861444999638,0.0006213822322824274,0.022278020523195018,0.02647513224350638,0.05918353586596917,0.02012932075784797,0.001903326197758035,0.0033727692757937644,0.0,0.002538933517949835,0.003323805883862512,0.0010611944116342455,0.0015270320132446768,0.00040860355643406723,0.00013823958750867058,0.004009470304681812,9.117725528047537e-06,0.0002811553894627605,5.04615543863472e-05,1.9216744986911828e-05,0.0,4.005275327716529e-05,4.908727979087172e-05,8.757168019504197e-05,0.0001584724116040216,3.2156435906711546e-05,0.002174348561517047,5.410370071412594e-05,0.004846069690500747,5.6772309578916347e-05,1.98772285508213e-05,4.1552355357848715e-05,2.3260361163965543e-05,0.00013937439287015448,0.00013256652522382253,1.681436937976474e-05,1.985533596501745e-05,5.340148860703281e-05,0.00012553040815199603,8.37861331695994e-05,0.0018078705561453178,0.0009096584374770823,0.0007871854178350915,9.363342009742385e-05,2.1497433014352945e-05,2.872673456986913e-05,0.0001468805987282545,1.1761975864707928e-05,0.0,0.0007875609198106981,0.0003554626868431889,0.0748082778679902,0.0748082778679902,0.0,0.0,0.0343541293194268,0.0
L.AM,0.0001779768321639942,2.0240967165905475e-05,0.00017934500321896313,0.0002904837546817874,0.10636703605187138,0.028723206357902716,0.0012843750148745412,0.01674450570341903,0.00041131753903071765,0.0018615965055144448,0.0015971180715567761,0.0017922837157479886,0.013122783525302148,0.007017581378434335,0.0025525062135430708,3.032388482880588e-05,0.00016854931941018972,0.00011621311929209238,0.00012760174747736814,0.0007191469117525705,0.00019341111920839822,6.515146801505542e-05,0.0007544000137336268,0.0007014011729621317,0.0007966132093769645,0.0003736391286504692,0.0008276667786381883,0.0010935085770304353,0.013195653963097268,0.00040556657599100554,2.925142802843674e-05,0.051225784699103515,8.611778955083833e-05,0.06955721285513661,0.002234439571565865,0.026501419512429084,0.0028929466465372764,0.0552045534913578,0.07026178036675562,0.06255122951787914,0.0,0.0033727692757937644,0.0010278556721375236,0.0002268599273929321,0.0002498704767664085,0.0004567707516358312,0.00015661093405136927,8.73811014799818e-06,0.00011772870213773032,4.3594828902106306e-05,1.4769061623741177e-05,7.203014111184285e-05,2.75361431617301e-05,6.31264085577647e-06,1.3331378006980436e-05,0.00019059341774993634,5.389776325579291e-05,8.644622953478562e-05,4.691166238100349e-05,0.00018944913030006472,9.442061269298236e-05,0.0002539022638438706,6.58619087045118e-05,5.333631761328881e-05,5.132099250191353e-05,8.221410445370589e-06,1.0251730343590954e-05,1.7675960911663552e-05,1.754554186106569e-05,5.570704206664468e-06,5.210183175896982e-05,6.922730010692921e-05,0.00037518798885499997,2.717800859269294e-05,4.590895615318186e-05,0.00012100718422479075,0.0002928764169327706,6.032568475520941e-05,0.00011863417998678823,0.0,0.0,0.0,0.0002576616229569197,0.001140267305909547,0.0246894605848249,0.0246894605848249,0.0,0.0,0.0267854391937106,0.0
L.BSTS,0.0,9.747897182626655e-05,0.003518525078273912,0.000972174276820606,2.0553096362723527e-05,0.0015736850408095764,0.11247220537624437,0.020666693299229568,0.0022793028463757234,0.0056588473407277,0.00038041461231192716,0.001108858630304572,4.867430854247126e-05,0.2559818508882346,6.753778984142198e-05,0.00020023467271847766,0.006273851794137077,0.00016960592383859303,0.0010110660678063882,0.0011471702851172645,0.003423935716870006,0.00036112861306402354,0.008285513388979607,0.005226203633041,6.149301084414094e-05,0.002172176039459469,0.002078918545160265,0.009497092269489924,0.20451142611670287,0.06950904166115979,1.5674824695655725e-05,9.614030216882315e-05,0.0025714154050141998,0.0037243558994017063,8.122157293239772e-05,0.006573833254825252,0.0007224881119684354,0.004080557167134441,0.0013424227528517176,0.001190752612267694,0.0001779768321639942,7.708430286976471e-06,0.0007257393039048647,7.442989920523318e-05,0.00040850666437145433,0.00012753994130690298,0.0002371483148107644,2.7731560854563542e-05,1.5490767877552948e-05,0.0001054751123792241,4.815125781383035e-05,0.00016320157633576966,4.023592086400572e-05,1.2261613151204992e-05,7.229681201536056e-05,0.0007848451631401589,0.0002650610314012109,0.00041348059862778816,0.0001518376405781046,1.2013380208094222e-05,5.386636256196381e-05,4.057115619025062e-05,0.0002524091569915287,2.0904580461372197e-05,9.762075008415545e-05,2.4020365627611396e-05,9.595864054794596e-06,1.9661055048664148e-05,5.0699998796217645e-05,0.00016216238664700926,0.00011120165996990896,0.0002580305407347216,0.0018655557814810531,7.102613633693088e-06,0.00010609017712465499,0.0003889265869343535,0.001425302579845247,0.0003660698372236608,0.00034663530111157456,0.0,4.663618464740751e-06,3.725563490681248e-05,0.0001530074739436143,2.336659255623645e-05,0.0221386236316302,0.0221386236316302,0.0,0.0,0.0945543112218836,0.0
L.CA,0.0007224881119684354,0.021993438317350324,0.04578392169389274,0.00010926322672156662,8.346484537672313e-05,0.0004862375414553353,0.0030583100715883237,0.0018857742179778942,0.002980145997579559,0.0006674695434181235,0.12629313171268847,0.00045031845622150524,0.0877578758776902,0.002981799536117182,0.0004580679853683012,0.01779181774926362,0.03579491640622459,0.02077014181415813,0.03421346648037427,0.00023787698799423694,0.021137703250945078,0.017492853525122094,0.11456446785916254,0.005651903696059135,0.060766314584105585,0.10360934419562243,0.16666297364139596,0.007447105979247235,0.003441475759058835,0.007584104654444383,0.006669124751200753,0.0002479065092052301,0.0006556528119344765,0.0607317527028757,0.0033053266638540116,0.2712058078135256,0.0,0.3690432779159047,0.19225837856051597,0.006556691548280823,0.0028929466465372764,0.02647513224350638,0.010103305966018977,0.019154473204173565,0.004431396779239771,0.003197816122351053,0.0005040014716585226,0.00013854922242910984,0.0071150452382305945,7.21704177892941e-05,0.0037154031056935823,0.0055195133814596176,1.5451521033292966e-05,1.6520960166382354e-05,3.6428792000458744e-05,0.0005455524224164355,0.0002098772693508497,0.0004985313005640062,7.697680484792727e-05,0.007193073289572518,5.1082880149315e-05,0.014888881527963334,0.00034788258887571375,0.00013521006419890712,0.004322417010420624,0.0028328151770576765,0.0014875270450941595,0.003116596349236759,1.3926895972795681e-05,0.001598384602136947,0.0030601153267273765,0.007834090446025989,0.0016030945023426295,0.005948579150265024,0.014960699104340829,0.030333743630764458,0.0011967298228077235,0.0003336775609726213,0.0009084638545236824,0.001522726910821974,2.1049454177091323e-05,3.983392162373688e-05,0.002067418706081841,0.002078641445966794,0.0650003542710128,0.0650003542710128,0.0,0.0,0.0052066518745496,0.0
L.CACG,9.747897182626655e-05,0.0,0.008468643015616218,1.2023032345870589e-05,0.0,8.206448862049514e-05,0.00036043374450086933,0.00013156323732707725,0.009531821096214118,5.7645078476865e-05,0.006272461951034889,9.344553190264469e-05,0.016122937578138388,0.0003486014753650189,0.00018781653506209534,0.0034234990352377355,0.010561735466030805,0.0016880962401862269,0.0056227625996181415,3.755289241839674e-05,0.0006442358253527941,0.05079585701378705,0.0033741944214189003,0.012724461256953081,0.0705178705314066,0.025474145234911996,0.18486597862207355,0.0009857528255365411,0.0005144536671370526,0.0007462165877797707,0.001208937586982247,8.718811079402256e-06,9.024568830868681e-05,0.005600267094351953,6.972217460829552e-05,0.010499713804384506,0.021993438317350324,0.010392794293405207,0.004136817586036947,0.0004237712385268049,2.0240967165905475e-05,0.0040641885645212195,0.002986643819392865,0.002793381442669753,0.0024989835112426352,0.0009616253279318,0.00010723551819077149,2.9028516237400003e-05,0.0003833899860345058,5.697525738015882e-05,0.011240152270571199,0.0034887634353287884,8.310862738677955e-06,0.0,2.4617762252271812e-05,0.00014422354392669846,2.868706650484241e-05,0.00021603373693539156,2.983276412207381e-05,0.0007282709418077696,1.611061145677742e-05,0.0016610744369643438,0.00017524248236065027,1.7429060692990972e-06,0.0005004289000399096,0.0024495531903176294,0.00042386861893027513,0.001803752088503841,0.0,0.0002455250626746225,0.0018594230656392707,0.0013068812878419412,0.0005095440553540059,0.0033258181142516,0.008597085133683841,0.025051049850879293,0.00022341667454938514,0.00012228909005277845,0.00016053247124518061,0.00014867491664864168,0.0,7.251644793282353e-06,0.0007796990908623354,7.942608874049622e-05,0.0289499106398936,0.0289499106398936,0.0,0.0,0.0688307022261461,0.0
L.CER,8.122157293239772e-05,6.972217460829552e-05,0.0003007156341169706,0.00011633071165015572,0.003447149143391356,0.00010792419119529827,0.0005793533578416473,0.00034811966558200545,0.0001597327155718281,0.00038818278434852937,8.531329275405208e-05,0.00010877821557295853,0.00111824629238815,0.0003331264486464204,0.03026493237355389,0.0007667866271789943,0.0003971481161916636,8.086831013073062e-05,0.00014084790547013273,0.00012951506054985205,0.0011971088487235766,0.0002978902855558698,0.003150207949059288,0.0006394407420159941,0.00019334654992428027,0.00041837841817752355,0.0022970551806192003,0.001290053641155359,0.0003520063347839059,0.0006890756996373116,0.0,3.192389829336176e-05,0.00015476615836479854,0.0033867657008558824,0.0,0.10353490932057408,0.0033053266638540116,0.006333185323790776,0.03712430848443621,0.014903285049461982,0.002234439571565865,0.0006213822322824274,0.042621120521697815,0.0031839280019083263,0.0071841643967050645,0.02373747507575917,0.0066182174124138,0.0008726064148761059,0.0003056152612993536,2.0816389365041177e-05,0.0001376598368021412,0.00040957596105072177,1.3795072531081633e-05,0.0009862793347033155,3.4411986062006834e-05,0.0003619626474337839,8.688901913980124e-05,0.00014733436960017097,0.00014413914746699665,0.0009392605408348881,0.00011906369393116682,0.000441657043338654,0.00014014783205176432,0.008361300373600349,0.00048317228440822356,0.00026648449858904705,3.107420354928476e-05,0.00016322001529661928,4.185678107950588e-05,0.0006115188381481941,0.00025954082165530613,0.0020301900512651235,0.00042514781237469997,1.9100017255924357e-05,0.0005307648663213119,0.0014746058522788234,0.000494456219086,0.00010478233175673882,0.00029909254551517247,1.2538161481539101e-05,5.669926826115009e-06,2.002031262604164e-05,0.0015607697751605647,0.8492428168993691,0.0023703465915788,0.0023703465915788,0.0,0.0,0.0032344772213711,0.0
L.CMFG,0.003518525078273912,0.008468643015616218,0.0,0.0001125940401518893,9.338349786004136e-06,0.001526837754143066,0.025615572679622493,0.009851768575226587,0.0012662238742333764,0.0021772326602066453,0.0029918910178609766,0.0001458530012014115,0.0004565583461769689,0.01140878274133153,3.651751336110467e-05,0.002413450583042865,0.12144723386589504,0.0013231483109882938,0.00933287004030913,0.00012106703567202585,0.020379338321739535,0.0053845439902242475,0.3186728703048722,0.004312954675841676,0.00041006444849169666,0.27398971216799467,0.33335556782933307,0.016113696296866535,0.003493197511450882,0.014026969447716022,0.00024616128996717164,4.127276723930595e-05,0.0004340276450759242,0.014979968905441354,0.0003007156341169706,0.04240018848501069,0.04578392169389274,0.03555491555706635,0.016889231742544558,0.0009509591060469631,0.00017934500321896313,8.438724669207698e-05,0.008452273940357701,0.00440442541614247,0.005056521972966935,0.002257339624122206,0.00028079549979444126,3.6509360886678863e-05,2.733426667600057e-05,0.00015566539619554356,0.003933155017367894,0.020829821048228322,2.420696019440149e-05,0.0,7.156692752086164e-05,0.0009909308620689604,0.00031198360604589256,0.0004241208437331571,0.00013156588447635947,0.00037593027813311795,2.7799986515705205e-05,0.00026178012920893313,0.0005975872277040237,3.1969122031486314e-05,0.0017020969294989118,0.006291699719200118,0.0002471273222876759,0.0018204489120583964,3.3864814519254e-05,0.0007834394060374824,0.0029587008848182706,0.00845208537304569,0.0013720228470629646,0.0001712220463919059,0.008403275123084454,0.04516613036663298,0.001125173050923356,0.0003429871982886118,0.0008180436412287607,4.54964098621003e-05,4.068478867743072e-06,3.60646305939633e-05,0.0018609714922381412,0.0002742723198100647,0.0123980657371498,0.0123980657371498,0.0,0.0,0.0893296904602065,0.0
L.CU,0.000972174276820606,1.2023032345870589e-05,0.0001125940401518893,0.0,2.8093735622960936e-05,0.007714214508803965,0.009703220212353272,0.005461293755082223,0.02896971043377092,0.18941516320157403,8.580901326671675e-05,0.06293265284036777,6.78836756716856e-05,0.0041265475114448,0.0013469227630451706,1.5299378667083804e-05,8.224219422738906e-05,3.3342462747962704e-05,5.1284498455262795e-05,0.7042227828654933,7.241902551820203e-05,0.00011856906320865422,0.00026003992393778484,0.07906981471694893,7.249265637724574e-05,9.93069363323796e-05,0.00025801054116301634,0.2458251590529517,0.0041453020508536295,0.00033797947837792806,5.690067629074791e-06,7.472437884979486e-05,0.0002616442453476765,0.0015748070137141176,0.00011633071165015572,0.008934886773243129,0.00010926322672156662,0.003209159588175265,0.0013184082627757606,0.0056267331204857,0.0002904837546817874,6.356565127693907e-05,0.0010217174286056765,5.901951556910066e-06,0.0004030306177337743,5.235667981717581e-05,0.0012190216553202764,5.115505111966778e-05,2.644602144233173e-05,0.00012410347676520598,7.865358135664706e-06,1.9495417043933766e-05,0.012008007674342265,0.0,0.0013394685012882706,0.002259512979492647,0.0010351496398814059,0.005107124004164636,0.0071369101636277,4.3127262055926705e-05,0.0039857230553112764,7.036935268234202e-05,0.0006722865767261059,0.00016370820365247817,4.360656225838345e-05,0.0,5.5396083463257035e-06,2.8489784412278406e-06,0.009068210733855471,2.6496177598265614e-05,3.738989726394862e-05,8.271523898802072e-05,0.0054989312415651475,0.0,1.5389715049324433e-05,7.101885893215768e-05,0.0051824979926249765,0.0003240576036163593,8.266300979484184e-05,0.0,7.948889012140633e-06,1.625694521902703e-05,0.00015393599857069115,2.8766734055661052e-05,0.0225933439695228,0.0225933439695228,0.0,0.0,0.084109886494573,0.0
L.EC,2.0553096362723527e-05,0.0,9.338349786004136e-06,2.8093735622960936e-05,0.0,0.058656841792858,0.00012034699629868391,0.01362424152740406,0.00024054386071616362,0.00013238984289132315,0.0002631273797369882,0.00041967442486606473,9.679133858564524e-05,0.002632458025767682,0.02525058503572926,1.1150606008282354e-05,3.655014261802963e-05,4.40533212302553e-05,4.9667757679785094e-05,3.5528757674598215e-05,7.196809182288236e-06,1.7121407760325563e-05,9.963307490205882e-06,0.00013348958982727682,1.7993533534055483e-05,8.523777368185294e-05,4.035356747011905e-05,7.304432965117817e-05,0.004565216299910541,3.6612378695126873e-05,7.480445457547685e-06,0.07764722660303475,9.900700672082337e-06,0.018372341442378336,0.003447149143391356,0.0012372071959959282,8.346484537672313e-05,0.0012693653506828766,0.0010499198758738295,0.09701276671102814,0.10636703605187138,2.9288581222042617e-05,8.825486853117801e-05,8.061808033658824e-06,3.4916208546805885e-05,0.00013433914546552353,6.695647927670338e-05,0.0,0.0,0.0,0.0,2.980842510597115e-06,4.107420829305793e-06,0.00037966305800092354,0.0,0.0,5.786776670306109e-06,2.2310403546768537e-05,0.0,6.383357166017647e-06,0.0,0.0,0.0,0.0005921216905819137,0.0,0.0,0.0,3.570773606254706e-06,7.655990509358823e-06,0.0,2.8740120807815125e-06,6.010489490989075e-06,1.5822243084171704e-05,1.731177308876361e-05,2.4111246557060802e-05,1.0188272876888474e-05,1.3336217189896505e-05,1.4573821463971721e-05,9.070922111926863e-06,0.0,0.0,0.0,4.886283917270003e-06,0.0012488903087765559,0.012869517892203,0.012869517892203,0.0,0.0,0.0498282046553171,0.0
L.FG,0.0015736850408095764,8.206448862049514e-05,0.001526837754143066,0.007714214508803965,0.058656841792858,0.0,0.05254556191434592,0.38412466727383604,0.009962572308251729,0.34073321315703003,0.0010737195870413547,0.18524337329135826,0.0004007320540635583,0.027230597993082223,0.04889170780219657,7.664261224083987e-05,0.000540202401064042,0.00017797997478388576,0.00038998503702208627,0.022462903026851,0.000717035974978747,0.00019427898309400438,0.0019807112229675234,0.011734514305043383,0.0001628342057220116,0.0010595506823950687,0.000823951501500253,0.023005379986012223,0.01330688787475929,0.001919566583396747,3.4874481043243554e-05,0.05542405577188673,0.00019172485164331451,0.011036503917551913,0.00010792419119529827,0.01830761409033712,0.0004862375414553353,0.0086528129672689,0.004405772494031023,0.10856682486935475,0.028723206357902716,0.00018618558406515175,0.0011796189509058943,6.693756486590546e-05,0.0006268725774513882,0.00022539255671821568,0.000804310469323189,6.960879921011865e-05,2.1688710074130486e-05,0.0001637147611527203,2.0579024398060213e-05,8.202101601483995e-05,0.0010943105188086942,1.8163574622936487e-06,0.0007966831454396415,0.0025693658885545707,0.0012862672382935058,0.0015612366464221588,0.0025601936719698705,6.989713664476611e-05,0.0009001888269606882,0.00012583500699588448,0.0009714292287267117,0.00011585253848572117,7.036606582630935e-05,2.935756349795848e-05,1.3179754161476113e-05,1.1714872905783332e-05,0.0009400468218016646,0.00014662285574544025,0.00010133372615480019,0.0001400111481469396,0.004731213943652018,2.0959609639560578e-05,8.587597823777379e-05,0.00023415584497240148,0.0032124335924824587,0.0004404795248774808,0.0003891771838074793,1.1065743658528103e-05,7.835451045305257e-06,2.5260180451783516e-05,0.00026111737014015144,8.817146755637351e-05,0.023358974191175,0.023358974191175,0.0,0.0,0.0823937206425752,0.0
